review,sentiment
"I recently bought this movie on DVD at a discount store for $5. Although it is a no-frills DVD on the Geneon label (just the movie that starts playing immediately - no menu, no special features) the picture and sound quality were EXCELLENT. The movie is based on the true story of one of the biggest bank robberies in history.<br /><br />Richard Jordan, who I must admit to not having heard of, plays the lead - Pinky Green. A charming young man who had spent too much of his few years in prison and now wanted to go straight but is not allowed to do so! He portrays an American in England. David Niven plays the lead bad guy, also with the great charm for which he is famous. Bad, but with scruples as when he refuses to deny Pinky his ""whack"" for the job. Whack, in England, apparently is the fair share of the take and not a bullet in the head as in American gangster films! All the supporting cast do an excellent job producing a very believable movie.<br /><br />What is perhaps best, to me, is that the whole movie is quite enjoyable and understandable (I frequently find myself lost in plot confusions and various characters) without ANY special effects. NO blood. No violence. Not even a single car chase! Just a well written story, well acted, well directed and well photographed! If I had any complaints about the movie, I would question the music. WHAT is bluegrass music doing in a bank heist story that takes place in England?",positive
"Du Rififi Chez Les Hommes/Rififi(1955) can on the surface be described as a French variation on John Huston's seminal heist film, Asphalt Jungle(1950). The difference between the two films is Rififi(1955) pays a little more attention in detail to the robbery sequence. Also, the police aren't involved in the aftermath of the robbery in Rififi as much as in Asphalt Jungle. In the end Rififi(1955) is in my opinion a slightly better film than Asphalt Jungle(1950). Remarkable Noir picture that defines 1950s French Cinema.<br /><br />Spartacus(1960) may have been the one which broke down the infamous blacklist, but in my opinion Rififi(1955) was the film that began to break apart the unbreakable Hollywood blacklist. First film in five years for Jules Dassin who was victimized by the McCarthy communist hunt of the late 40s to early 50s. He got some sort of retribution when Rififi(1955) became a success around France and Europe. Thus defying the poisonious Hollywood blacklist in a major way that probably inspired others to do the same. Rififi(1955) is the most important film of Dassin's career because it not only restored his name, but also gave him a second chance at making films.<br /><br />Jules Dassin gave the filmworld and its ever growing audiences a masterpiece of influential proportions. His handling of the material is exceptional and direction of the actors is flawless. Builds up tense situations with precise craftsmanship. Dassin came full circle in the Film Noir genre by directing his best and last Noir, Rififi(1955). Marked the end of Dassin's period in filmmaking when he was involved in doing Noir pictures.<br /><br />Rififi(1955) is the number one film in an arsenal of thirty plus films for director, Jules Dassin. A masterpiece in acting, cinematography, directing, editing, and writing. Not a film to leave your seat for one minute because there is always something memorable going on. As brilliant as anything by Jean Pierre Melville who was a master of this type of film. Masterpieces such as Rififi(1955) are relatively small compared to the probably billions of films made in motion picture history.<br /><br />The one fascinating aspect of Rififi is the precise planning and careful execution of a robbery that takes up a bulk of the 118 minute duration. The main characters plan and execute the jewel heist in the same way a film director prepares for the pre-productions, production, and post-production of a film. Shows how difficult a Jewel heist like in Rififi(1955) is in committing and why very few would do something like it. The fact that the scene hardly contains a mess up like in other heist films turns this scene into something even greater. Close as one can get to having a perfect sequence in a motion picture.<br /><br />Lack of unnatural sound in the landmark thrity minute heist sequence puts it in a realm of absolute realism. Any dialogue or/and music would ruin any suspense and tension the director is trying to create. The use of natural sound makes the heist sequence a rewarding film viewing experience. Now Filmmakers and producers would use dialogue and music in a scene like this because of a lack of confidence of a mainstream filmgoer's patience. Sustains a level of consistency that never once lets down.<br /><br />Maintaining a high level of suspense is what makes the heist sequence tick to perfection. The director achieves suspense in the heist sequence that's rarely equaled in most robbery scenes from heist films. Jean Servais and the rest of the main actors contribute to the suspense with some low key acting. Getting suspense put in a scene is a task few are capable of doing. The robbery sequence of Rififi(1955) reaches a Hitchcockian level of suspense and tension.<br /><br />Many filmmakers from the years following Du Rififi Chez Les Hommes(1955) have been influenced if not inspired by it. One filmmaker influenced was Jean Pierre Melville(original choice for director of Rififi)who used variations of the heist sequence in Le Doulos(1961), and Le Cercle Rouge(1970). Another filmmaker influenced was Stanley Kubrick who made a similarly themed film in The Killing(1956). Also, Quentin Tarantino whose debut feature Reservoir Dogs(1992) was inspired by this film. Other film directors influenced are John Woo, Michael Mann, Paul Schrader, Ringo Lam, etc...<br /><br />Du Rififi Chez Les Hommes(1955) is comparable to Bob le Flambeur(1955) in many ways. One, Jules Dassin and Jean Pierre Melville directed groundbreaking films in Rififi(1955) and Bob le Flambeur(1955). Two, each film involves an aging criminal who plans and carries out a daring heist. Three, Bob le Flambeur and Rififi finishes in fatalistic fashion. Four, each film shares many motifs and situations that classify the two as film greats.<br /><br />Part of Rififi's charm are the colorful characters that surround the story such as Tony le Stephanois, Jo le Suedois, Mario Farrati, and Cesar le Milanais. Most of the violence is implicit yet effectively brutal. The main characters led by Tony le Stephanois abide by a strong outdated code of honor that is remindful of Sam Peckinpah and John Woo. Jean Servais becomes the role of Tony le Stephanois with his cynical outlook and tired looks. Du Rififi Chez Les Hommes/Rififi(1955) became a favorite of mine the moment I saw it on the big screen from beginning to end.",positive
"This movie is truly amazing,over the years I have acquired a taste for Japanese Monster movies and am well aware that early examples of this genre can be poor. However this one reaches a new low, as it follows the adventures of Johnny Sokko(?), a young boy who controls a Giant Robot, and his fight against the evil Gargoyle Gang, who seem to have an endless supply of horrid giant monsters at their disposal.",negative
"MR. BASEBALL is a film of paradoxes. Written and filmed as a ""light, sports comedy"" it truly has a heartwarming core as human and universal as some of Capra's finest. At the plot level, you have the paradox of baseball, a fine old American game, as it is played in Japan - turned around, with American values cast off and Japanese values imprinted upon the game. (Some of the superficial ""sports comedy"" results from Jack's uncomprehending disbelief at how ""basa-boru"" is played in Japan.) You also have a lead character who's presented as an over-the-hill, aging baseball star, but who is actually quite immature - pro ball allowed him to postpone growing up. And you have a lead character who is rudely resistant to the changes in his life that are being forced upon him, refusing to accept the curveball that life has given him, in the midst of a new country, a new manager, a new team, and a new girlfriend, who have all welcomed him and try to accept him. Sound like heavy stuff? Not really. It's a charming ""clash of cultures"" comedy that takes place on the national, sports, romantic, and professional levels. But if you watch it sensitively enough, you will also find a great story about a man who has to abandon his immaturity and grow up way too late in life (causing some amount of personal pain), and finds success in places he never expected it. I love the story, but I also have great respect for Selleck's performance; he bares his tush (literally) to portray an ugly American, insulting people and throwing tantrums in public, then lets us inside this character to understand his dismay. It also doesn't hurt if you're a big fan of Takakura Ken like I am. MR. BASEBALL is a surprising ""loss of innocence"" tale.",positive
""" While sporadically engrossing (including a few effectively tender moments) and humorous, the sledgehammer-obvious satire 'Homecoming' hinges on comes off as forced and ultimately unfulfilling. With material like this, timing is everything (Michael Moore knew to release ""Fahrenheit 9/11"" before the 2004 elections), and the real tragedy of Dante's film is that it didn't come out 2 years ago, when its message would have carried an energy that would have energized the dissidents further. In 2006, mockery of the well-settled Bush Administration hardly seems as controversially compelling (or imperiled) as it did then.""<br /><br />frankly anyone that could be convinced of anything by a ham fisted zombie flick has questionable intelligence. <br /><br />and if you didn't notice, michael moore didn't exactly help to defeat bush.<br /><br />there was nothing engrossing about this film. i just felt disgust at how blatant and frankly stupid the film was, it was painful to watch. if you are going to do something like this you need a bit of wit. sadly this has none. a poorly done satire actually has the opposite of its intended effect. as they say, with friends like these who needs enemies.",negative
"This movie was made only 48 years after the end of the Civil War--most likely in anticipation of the 50th anniversary of the end of the war. In the film there are recreations of battles and the people of the era that look rather impressive and realistic. It also provides a different and more balanced view than just its contemporary, BIRTH OF A NATION--a patently absurd and racist film. Because of this, this short film would be excellent for use in the classroom to discuss the war and tell the story of a very young man that runs away to enlist as a drummer. The boy makes good and is a hero, though the film ends rather melodramatically--a definite convention of the day. Not a great film, but a decent plot, decent acting and little of the over-the-top acting you often saw in other films of the day.<br /><br />One annoying aspect of this film was the too frequent use of title cards to describe or set the stage for stuff that was really obvious. It got annoying from time to time.",positive
"In what I can say was a theft of my time I was taken to see this movie and I must say what a horrible experience. Fay Ann Lee is a terrible actress and is unconvincing in this movie. Larryjoe76 is obviously a shill reviewer. The plot is thin to say the least, the Cantonese dialog is not funny. See this movie at your peril.<br /><br />David Tang from Shanghai Tang should be after the movie for the little or no revenue this movie will generate. The banal plot attempts to compete with other rom-coms out there, and just blends into the scenery. It was like watching paint dry. <br /><br />In short this movie was a total waste of time and space. I've seen better movies on youtube.",negative
"End Game started well, the least said about the end the better. it seemed like things we're happening just to keep the plot going, for example the reporter who at first is a very inquisitive, intelligent person, half way through does something really stupid and totally out of character, we are given no reason for this apart from, the next scene wouldn't make sense without it. The whole story could have been told in about 30 minutes, it would have made an average TV political drama The brilliant Cuba Gooding Jr. is very watchable however and James Woods does an admirable job considering.<br /><br />The end game was honestly one of the worst films I've ever seen......and that's saying something, I've seen Gigli.",negative
"""The Couch Trip"" is one of those silly comedies that they cranked out in the '80s. In this case, Dan Aykroyd plays a mental patient who poses as a psychiatrist, and he goes to Beverly Hills to sub for Charles Grodin. Most of the movie's humor springs from their satirical look at Beverly Hills and people's empty lives there (a woman has a power struggle with her maid).<br /><br />It's the sort of movie that you just watch to have a good time. Don't expect any kind of religious experience. But you'll most likely laugh a lot at how the Beverly Hills people flaunt their wealth. Also starring Walter Matthau, Donna Dixon, Arye Gross and Victoria Jackson (of ""UHF"").",positive
"This is one of my favourite movies EVER... I have seen it about a million times and would never turn down the opportunity to watch it again. In fact, I love it so much that I REALLY wanted to check out the resort where it was filmed on my upcoming vacation... does anyone know the name of it? If so, please email me!!! I watched this movie for the first time when it was first released and I was about Nikki's age and for the longest time I bugged my dad to take me to away somewhere because of course I expected the same thing to happen to me! It's just such an amazing setting and such a cute puppy-love story. This is a definite DVD collector's must!",positive
"All ambiguity about Michael Myers has withered away thanks to this series' chronic habit of arseholing about with its continuity and pulling relatives out of nowhere. This entry introduces the potty angle that he's not just a psycho killer but is actually controlled by runes, which appear as a star constellation every Halloween, and a cult is using him to... erm, well, this film is far from coherent and I lost track of the plot after a while. The movie hemorrhages credibility so profusely it doesn't have a drop left by the end. Why does Michael put one victim's clothes in a washing machine? Why does an otherwise empty corridor have a deadly spike sticking out of the wall? Does getting electrocuted really make your head explode? And so on. It's left to Donald Pleasence, in his penultimate film role, to produce some wonderful little moments from the pile of dreadful dialogue he's given.",negative
"The biggest mystery of Veronica Mars is not one that she had to tackle on screen.<br /><br />Rather, the mystery is why this perennial ratings disappointment is still on the air. This week marked a nadir for Veronica Mars: it ranked 146 out of 146 shows in the big 6 (soon to be Big 5). Yes, you read right. Veronica Mars was beaten by every show of the now-defunct WB and every show on UPN. It was beat by all the shows on Fox and of course by all the shows on ABC, CBS and NBC.<br /><br />Now, the hip hypesters are going to say: but this was a re-run. But everything on TV that week was pretty much a re-run! It boggles the mind why CW would choose this proved ratings disappointment as one of the few shows it saved from UPN.<br /><br />Clearly something is going on behind the scenes. Favors are being exchanged and influence peddled.<br /><br />Sorry to be so cynical, but what other explanation is there? The ""Veronica Mars has potential"" line is clearly dead now that it's had two years to establish itself and failed to do so.<br /><br />Maybe it's Joel Silver's influence and clout, but frankly, I am at a loss why anyone would choose to spend their clout on a bad show that no audience is watching.<br /><br />A great mystery and a very inauspicious debut for CW.",negative
"for many and many years, gaijin have visited japan for learning martial arts, instead of acquiring any knowledge on it, gainjin have been told only nihonjin could achieve the excelent performance required to show some techniques in a ""public"" performance such as a movie...<br /><br />this one special movie, made by sho kosugi, not only shows all of those techniques and skills, but also teaches many and many lessons on how to achieve them, and one can verify that by seeing a LUCINDA DICKEY performing fantastic and unforgettable acting skills in NINJUTSU...<br /><br />I strongly recommend watching this movie more than thrice, because three times is not enough to seek out hints and tips given so easily by sho kosugi to those who really seek knowledge itself, the gnosis...",positive
"The arrival of White Men in Arctic Canada challenges the freedom of a fearless ESKIMO hunter.<br /><br />W. S. Van Dyke, MGM's peripatetic director, was responsible for this fascinating look at life in the Arctic among the Inuit. His production was on location filming from April 1932 until November 1933 (although some annoying rear projection effects show that some of the shooting took place back at the Studio). While considered a documentary at the time, we would likely term it a 'docudrama' as it is scripted with an intriguing plot & storyline.<br /><br />The film shows the daily life of the Eskimo, both Winter & Summer, and in fact starts in the warmer time of the year without any snow or ice in sight. The constant striving for food is depicted, and the viewer gets to watch the exciting hunts for walrus, polar bear, whale & caribou. The native language is used throughout, with the use of title cards; the only English is spoken by the fishermen & Mounties encountered by the Eskimo. In fact, it is the arrival of White Men, both good & bad, and the change they make on Eskimo society, which is a major element in the narrative.<br /><br />This Pre-Code film deals in a refreshingly frank manner with the Eskimo moral code, particularly with their practice of wife-sharing, which was an important and completely innocent part of their culture. In fact, the entire film can be appreciated as a valuable look at a way of life which was rapidly disappearing even in the early 1930's.<br /><br />None of the cast receives screen credit, which is a shame as there are some notable performances. Foremost among them is that of Ray Wise, playing the leading role of Mala the Eskimo. Wise (1906-1952) was an Alaskan Native of Inuit ancestry and is absolutely splendid and perfectly believable in what was a very demanding part. As handsome as any Hollywood star, he would continue acting, using the name of Ray Mala, in a sporadic film career, often in tiny unbilled roles.<br /><br />Lovely Japanese-Hawaiian actress Lotus Long plays Mala's loyal second wife; the names of the fine actresses playing his other two wives are now obscure. Director Woody Van Dyke steps in front of the cameras as a strict North West Mounted Police inspector. The two decent-hearted Mounties who must deliver Mala to Canadian justice are played by Joe Sawyer & Edgar Dearing, both longtime movie character actors. Danish author Peter Freuchen, upon whose books the film was based, has a short vivid role of an evil wooden-legged sea captain who unwisely rouses Mala's icy wrath.",positive
"Unfortunately, this has been showing on Star Movies here in Thailand for the last week or so. It's complete rubbish acting. As another member said, this movie is a good example of 'how not to act.' I haven't seen a movie so poorly acted in a long time. The actors (can you call them 'actors'?) are completely flat and deliver their lines with the passion of a dead dog. I would say that in order to truly understand how bad the acting is, you would have to see the movie... but that would be akin to torture.<br /><br />I cringe as the leading lady delivers her lines, and the rest of the cast with their accents (fake or contrived) is equally heinous. Another actress with the fake British accent was pretty, yes, but good lord was her accent terrible. Mix that with her (lack of) acting and you have a disaster. She should just have said nothing and I could have accepted her as the pretty girl. Oh my, we just got to the scene where the leading lady's lover says ""Really me?"" after a forced crying scene from her. Laughable. No, really, I just laughed out loud.<br /><br />The sets and the art directors offer some saving grace to the film. Some of the sets are colorful and some of the scenes are rather nice (minus the actors).<br /><br />The old magic potion lady? What?! Another member mentioned the 'modern' love song that was in the movie. Totally inappropriate for a period piece set some 500 years ago.<br /><br />I understand the movie was considered 'Big Budget' in Thailand at the time of it's production. I would be seriously upset if I were the producer of this movie. Just goes to show that money does not necessarily make a good (or even mediocre) film.<br /><br />I would give the King Maker a 1 out of 10, but the costumes and sets make save the film from such a rating. 2 out of 10.",negative
"This is a VERY underrated movie to say the least. As has been pointed out in previous posts, this movie has a somewhat loose and highly implausible script but you find yourself saying ""Who cares?"" while shooting milk (or insert beverage of your choice here) through your nose. It was indeed due to a rare mix of actors in sync. While Kelsey Grammar is obviously a gifted actor (reference 'Frasier', this movie) the supporting actors/actress play their roles quite well. I found in interesting how they threw in the part about Duane Martin blowing the shot in the 'big game' for Navy's basketball team; if any of you is a basketball fan you'll remember Martin from 'White Men Can't Jump' and 'Above the Rim' and you'll know that Martin had a short stint in the NBA with the Knicks. Nice how they threw in believable character attributes such as this. Rob Schneider's anal-retentive character was the perfect offset to Grammar's calm demeanor. Lauren Holly played the gutsy-sexpot-with-a-brain well enough to make you want her to succeed. This is a movie that will make you laugh even if you've seen it many times before...the comic bits in this movie definitely last. I still find myself laughing 12 years later.<br /><br />""Is that one of my chickens?"" ""Uhhh...no. This a parrot....from the Caribbean."" ""Well don't let it fly away...that's supper."" ""Arrrrr.....arr.""",positive
This is my favorite movie of all time. I just love all the trouble all the teams get into! Its great. Michael J. Fox looked so young.. but then again i guess he was!<br /><br />The teams are so stereotypical you just have to laugh.,positive
"This may not be the very worst movie Peter Sellers ever did (I think that laurel goes to ""The Prisoner of Zenda"") but it is surely the most depressing. Sellers, especially sans makeup as Nayland Smith, looks like he has just undergone chemotherapy. As Fu Manchu, he looks hardly better and spends most of the film (with the exception of those strangely disturbing scenes where he gets jolted with electrical currents) on the verge of collapsing under the weight of all that makeup. The supporting players also look tired and run down, and Sid Caeser's presence is offensive even without his constant references to ""Chinks!"" (One bright spot: this would be one of the last times a major motion picture would portray Asians so insultingly ... or, for that matter, star a non-Asian as one!). The film seems surprisingly cheap, with soupy photography and drab sets - even the whiz-bang Elvis number at the end looks cut-rate. Only the stunning Helen Mirren and the tall, thin, nervous guy who get his pants wet add any sparks of life to this sad affair. All in all, this film provides an eerie premonition of a great comic's death, and an even eerier documentation of his dying.",negative
"If you enjoy riddles and suspense, you will enjoy this movie. Truth be told it was mostly the Adrian Paul part that got me to pick it up, I knew almost nothing about the movie beforehand. Plot is: Sarah (Carly Pope), a student of philosophy and metaphysics, starts playing a mysterious riddle game trying to figure out ""the reason"" and gets involved in ""the game"" by solving riddles. Vern (Adrian Paul) is a shop owner, also a riddle fanatic, and also gets entangled in the game. Myth has it that if you solve the game, the meaning of existence (referred to as ""The Design"") is revealed. Brendan Fehr's character is a ""village idiot"" type hanging around the shop who turns out to be more than he seems. All in all, I thought the movie was pretty well done. And it's definitely an original concept, a rare find these days! I personally happen to like riddles and puns, so while most of them weren't very difficult, it was still a fun movie. Well worth the rental.<br /><br /> So, if you haven't seen it -- get it! :-D<br /><br />",positive
"Just bought the VHS on this film for two bucks, Did I waste my money! Hey, I dig Adam ""Batman"" West and Tina ""Giligan's Island"" Louise, but hello! This third rate production is a rehash of a dozen other biker films; crazed bunch of bikers psychos ride into a hick town, beat up everybody and everything, and then are defeated in the man by a dashing hero. Adam West looks the part as a hero, but he's missing cape, and his Batman uniform. Sorry, just isn't the same. Tina L. looks really nervous and frightened the whole show, but at least we know what happened to ""Ginger"" once she was rescued from the island...LOL! The bikers are a motley group, and known of them ever acted again or at least shouldn't have. Hell Riders is Hell to Watch!",negative
"What can you say about a short little film filled with secondary actors and no ""stars"", with absolutely no bad performances, not one poorly delivered line of dialog, and with the cold violence on one hand being balanced by the warm ""heart"" of the protagonists in the story? <br /><br />It's a jewel, a diamond, a little valuable gem of a western that evokes the spirit and legend of the American West. A West not settled by grand heroes like Hickock or Cody or Masterson or Earp, but by the spread of the everyday man and woman, farmers and ranch hands, merchants and miners and lumbermen, whores and barkeeps, and entertainers of the day, some looking for riches, some for peace and quiet, some for religious freedom. <br /><br />It is, perhaps, a very spiritual story, though not promoting any particular religion, for even the non-Mormon cowboys portrayed by Ben Johnson and Harry Carey Jr. act in kind and noble ways toward everybody in the story, regardless of religious affiliation and beliefs, and go out of their way to promote tolerance and charity when the wagon train comes upon the stranded medicine show people. And in true biblical fashion, like David and Goliath or Samson and the Philistines, they are the guardian angels sent to the wagon train who eventually have to go head to head with the evil incarnate Clegg clan, likening them to the serpent in the Garden of Eden, and regretting what it is they have to do afterward. It's a sweet folkloric tale of the West that hits every target John Ford takes aim at.<br /><br />Nowadays I have a western Santa Claus whose red outfit is covered with a denim drover coat, whose red stocking cap is replaced by a brown Stetson, who carries a burlap bag of presents and a coil of rope. To my Santa I added a Winchester rifle with a sling to put on one of his shoulders and a Colt revolver to tuck into his waistband. When people at the office ask why my Santa has to carry guns, I simply reply, ""Snakes!"" After all, isn't the spirit of the Christmas season one where everybody should get what they deserve? <br /><br />Fifty five years later, especially post-911, the philosophies and attributes demonstrated by the characters and story of this movie are still as relevant today as they were back then.",positive
"I barely remember this show, a little ,but I remembered it was great! My eldest brother, reminded me about the show recently and I had seen an advertisement for the D.V.D set coming out. The network, again screwed up in pulling this from the air, so that they could put what else in it's place? It should have gone at least 3 seasons. Why not, right? I think sometimes that the network executives think they are the 'gods' of the entertainment world. But they mis-guess and flat out miss good show placement from time to time. Let it be said that, they have a lot more flops than 'hits'. This was one of the poor decisions to cut from the line-up. Anyhow, I am getting this for my collection.",positive
"This movie's basic premise is that everyone in the world can know that a person is gay except for that person. And that a man who likes show tunes, has good taste, and is neat in appearance MUST be a homosexual. Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through. The performances, particularly Joan Cusak and Kevin Kline are very good.",negative
"This, along with ""Hare Tonic,"" ranks as one of the best Bugs cartoons, indeed one of the best Bugs, ever. There are some comments about how Bugs in these cartoons is ""basic,"" meaning, I guess, that he is as yet not fully developed. I actually prefer this ""basic"" version from the mid-40s (Chuck Jones' was the best version) who is actually more rabbit-sized and far more amusing than the eventual long-legged version who towered over Yosemite Sam and Daffy Duck. The latter-day Bugs came to be too suave and sophisticated for my liking. Also check out ""Hair Raising Hare"" (1946) and ""Rabbit Punch"" (1948) for great examples of classic Bugs and classic Chuck Jones.",positive
